Date,Close
01/12/2021,330.08
02/12/2021,329.49
03/12/2021,323.01
06/12/2021,326.19
07/12/2021,334.92
08/12/2021,334.97
09/12/2021,333.1
10/12/2021,342.54
13/12/2021,339.4
14/12/2021,328.34
15/12/2021,334.65
16/12/2021,324.9
17/12/2021,323.8
20/12/2021,319.91
21/12/2021,327.29
22/12/2021,333.2
23/12/2021,334.69
27/12/2021,342.45
28/12/2021,341.25
29/12/2021,341.95
30/12/2021,339.32
31/12/2021,336.32
03/01/2022,334.75
04/01/2022,329.01
05/01/2022,316.38
06/01/2022,313.88
07/01/2022,314.04
10/01/2022,314.27
11/01/2022,314.98
12/01/2022,318.27
13/01/2022,304.8
14/01/2022,310.2
18/01/2022,302.65
19/01/2022,303.33
20/01/2022,301.6
21/01/2022,296.03
24/01/2022,296.37
25/01/2022,288.49
26/01/2022,296.71
27/01/2022,299.84
28/01/2022,308.26
31/01/2022,310.98
